loc	fisher_es	fisher_p	direction_effect	direction_t_p
Cytoplasm	1.4450344896405227	3.765251325331245e-10	-0.4417107866141162	4.364381659722e-245
Nucleus	0.7988206857195205	8.319331085251032e-5	0.026007745071949778	0.04861993063800924
Cell membrane	0.7839797810496174	0.005781642723659404	0.15681169497275155	5.000637356283213e-13
Multi-pass membrane protein	0.804395973912054	0.01845826214296775	0.45125138406711457	2.4876046739706535e-105
None annotated	1.2757073669247447	0.008506253967541896	-0.35275383008222444	3.610805712185664e-61
Membrane	1.0089993221726719	1	0.10316348352859153	1.265669370108251e-4
Secreted	1.046019391985404	0.8677132115871639	0.19107920131637846	2.84747585856577e-4
Cytoskeleton	0.9530818293772629	0.6030467789402206	-0.23873175612794936	1.8927705169764235e-33
Peripheral membrane protein	1.1103246970222698	0.3464827212435861	-0.15291349601152193	2.1693619979715348e-10
Single-pass type I membrane protein	0.870731960123738	0.40550516490410854	0.48235356804462676	1.1379909021057848e-35
Cell projection	1.0164377985289743	0.9513057863346205	-0.13484181670203374	3.6713582133937374e-6
Endoplasmic reticulum membrane	0.9826272125550363	0.8583325261634468	0.4402769870542947	2.944870147981571e-74
Cell junction	0.7614481137630285	0.04511133528622665	-0.02898932743809271	0.3871658331839277
Mitochondrion	1.6014238946923027	7.398489591925338e-4	0.32284461730573544	2.1418932550772803e-32
Cytoplasmic vesicle	0.9515263423939516	0.7127920965074452	-0.0408762260626816	0.22237233645931073
Single-pass membrane protein	0.9838519699454197	0.9334734683168852	0.42753978431876605	1.2727779693146378e-38
Cytosol	1.7864914685554407	2.497439807795039e-4	-0.3408839304366309	7.682000009595599e-26
Chromosome	0.8329412478932989	0.15623955877408835	0.12246127291957827	6.978089467358343e-6
Golgi apparatus	0.979911382035882	0.883183412537536	-0.20905105037259147	1.8689851860553422e-8
Lipid-anchor	0.6089175246874997	0.0017223127239221908	0.09195452329701276	0.014190890947491836
Microtubule organizing center	0.9878557796070685	0.9415792796838416	-0.24377940845465956	4.12351431057476e-16
Synapse	0.8455353845596624	0.3394668700335477	0.004553917389215012	0.9242539373154335
Single-pass type II membrane protein	2.395303497878296	0.0012560957281539662	-0.28928917434833923	0.0010498471600664805
Centrosome	0.9729299144432928	0.8239663498122449	-0.24535289980660233	1.443645264328836e-16
Golgi apparatus membrane	1.2344929893185475	0.2756747807656657	-0.25408799562249496	7.52186654115984e-6
Nucleolus	0.7451628340856896	0.031469656931407214	0.26516770157029385	2.100217039405e-25
Extracellular space	0.8558747431916455	0.5957785926019827	0.4849370913834341	3.035848347038399e-6
Mitochondrion inner membrane	1.3292042723165816	0.12814950842389083	0.5520866380741026	1.377896878066555e-147
Perinuclear region	1.2194009887380735	0.37981073584397185	-0.17021830195243537	8.053138506901338e-5
Endoplasmic reticulum	1.068374715105382	0.8369498421422665	0.07013163433719802	0.14220607306804994
Cilium	1.4011122880642002	0.2851052643887589	-0.24406211208145706	1.1754588950206284e-4
Extracellular matrix	2.5351720338317385	0.13393432499750832	0.5896006260355339	2.1811343293511282e-5
Secretory vesicle	0.8256603672693024	0.42228416629530174	0.10331913952982502	0.06835344609172453
Lysosome membrane	0.542121505715441	0.002224593357240591	0.2415216444141651	1.139431042620595e-5
Nucleoplasm	0.617860191594823	0.007310638738101745	0.22145944891408853	2.995006708976079e-9
Dendrite	0.6094135480984265	0.052776175532353045	0.10355689133822045	0.13782028667145851
Spindle	0.8953080375069529	0.599512153686159	-0.17164851265035505	1.3440832934938783e-4
Nucleus speckle	1.1790375418136254	0.5375237713011031	0.3185401486229878	3.76364812624386e-21
Mitochondrion matrix	3.47629373090419	1.189712439622508e-5	0.4531963406565641	6.331662348788352e-30
Apical cell membrane	0.6523732537805116	0.20110231555739166	0.24932929032075546	0.001182281515917966
Axon	0.7307733853207609	0.21603476689429346	0.03265853240012853	0.6323119393260254
GPI-anchor	0.7349075429678816	0.5732905308542793	-0.08042936246147772	0.5101001637284783
Endosome membrane	0.9830056736336238	0.8953237930111289	-0.05811752199047884	0.42232747720035235
Mitochondrion outer membrane	1.04759243075633	1	0.34547280486144233	8.44023023953666e-11
Lysosome	0.5236790379274668	0.008657495111587704	0.15522784159071012	0.0017280679466179464
Centromere	0.7164260400058801	0.13038192334698656	0.005900663168547177	0.902858966702555
Early endosome membrane	0.7527986437607508	0.2758109480606775	-0.05648979675361562	0.4009886463005057
Cilium basal body	0.5902039084678385	0.035962834978306685	-0.19890871321187295	2.0359439555985403e-4
Cytoplasmic vesicle membrane	1.0538468763094513	1	-0.020917361054499595	0.789793533299831
Postsynaptic cell membrane	0.5605035311012915	0.1624803175306264	0.20276747266989423	0.06016584687254985
Endosome	1.405434803033979	0.36225916039445283	-0.09043321333186635	0.2464468910617671
Early endosome	0.6487143107137203	0.12080823140445132	-0.11851599226471235	0.054990709907215635
Late endosome membrane	0.6551410789319937	0.09334127805588695	0.12905753825761135	0.07607760303295708
Centriole	0.6505959570883924	0.12960961663098683	-0.14294930405663084	0.00415885236191389
Microsome membrane	0.8038684187959857	0.6216519187600785	0.2889500235762823	0.04277671891986319
Spindle pole	0.9620819482112768	0.8875188582677983	-0.21789333288522234	1.5999196581778532e-4
Trans-Golgi network membrane	0.7128100312082358	0.22963493250943456	-0.07339048207914514	0.31773705986469747
